ra_bin_deg,dec_bin_deg,n_stars
0.0,-18.0,3369
0.0,-17.0,8042
0.0,-16.0,11862
0.0,-15.0,16940
0.0,-14.0,14644
0.0,-13.0,15334
0.0,-12.0,15398
0.0,-11.0,15592
0.0,-10.0,15549
0.0,-9.0,16055
0.0,-8.0,16168
0.0,-7.0,16937
0.0,-6.0,17047
0.0,-5.0,17530
0.0,-4.0,18247
0.0,-3.0,18749
0.0,-2.0,19366
0.0,-1.0,20131
0.0,0.0,21864
0.0,1.0,22094
0.0,2.0,24397
0.0,3.0,28528
0.0,4.0,31723
0.0,5.0,37824
0.0,6.0,45172
0.0,7.0,55611
0.0,8.0,76007
0.0,9.0,109180
0.0,10.0,161573
0.0,11.0,186016
0.0,12.0,221961
0.0,13.0,57063
0.0,14.0,60599
0.0,15.0,30095
0.0,16.0,13034
0.0,17.0,2994
1.0,-18.0,3560
1.0,-17.0,7983
1.0,-16.0,12463
1.0,-15.0,76884
1.0,-14.0,15017
1.0,-13.0,14420
1.0,-12.0,14785
1.0,-11.0,15018
1.0,-10.0,15201
1.0,-9.0,15418
1.0,-8.0,15704
1.0,-7.0,15746
1.0,-6.0,16151
1.0,-5.0,16600
1.0,-4.0,17348
1.0,-3.0,17875
1.0,-2.0,18157
1.0,-1.0,19313
1.0,0.0,20673
1.0,1.0,21559
1.0,2.0,22795
1.0,3.0,26088
1.0,4.0,30780
1.0,5.0,35792
1.0,6.0,41885
1.0,7.0,53875
1.0,8.0,72599
1.0,9.0,102702
1.0,10.0,151154
1.0,11.0,184214
1.0,12.0,186801
1.0,13.0,72051
1.0,14.0,68067
1.0,15.0,29546
1.0,16.0,13004
1.0,17.0,3196
2.0,-18.0,3509
2.0,-17.0,8045
2.0,-16.0,12976
2.0,-15.0,137454
2.0,-14.0,15298
2.0,-13.0,14422
2.0,-12.0,14615
2.0,-11.0,14439
2.0,-10.0,14691
2.0,-9.0,14702
2.0,-8.0,15155
2.0,-7.0,15451
2.0,-6.0,16257
2.0,-5.0,15901
2.0,-4.0,16718
2.0,-3.0,17330
2.0,-2.0,17528
2.0,-1.0,18548
2.0,0.0,19617
2.0,1.0,20807
2.0,2.0,22365
2.0,3.0,25553
2.0,4.0,29644
2.0,5.0,34243
2.0,6.0,40425
2.0,7.0,53098
2.0,8.0,70202
2.0,9.0,96965
2.0,10.0,139296
2.0,11.0,190317
2.0,12.0,173805
2.0,13.0,96825
2.0,14.0,67661
